Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000008	MYZPE	n2	1.0	Terminal	MYZPE_Phy007AYSI_MYZPE, MYZPE_Phy007AZ12_MYZPE	MYZPE_Phy007AONY_MYZPE
OG0000008	MYZPE	n3	1.0	Terminal	MYZPE_Phy007AYSI_MYZPE	MYZPE_Phy007AZ12_MYZPE
OG0000009	MYZPE	n1	1.0	Terminal	MYZPE_Phy007AZIM_MYZPE	MYZPE_Phy007AVBU_MYZPE
OG0000009	ACYPI	n2	1.0	Terminal	ACYPI_Phy0010H4C_ACYPI	ACYPI_Phy0010FJY_ACYPI
OG0000010	N0	n0	1.0	Shared	ACYPI_Phy0042DSI_ACYPI, MYZPE_Phy007AP5W_MYZPE	ACYPI_Phy00BX54I_ACYPI, MYZPE_Phy007AM5F_MYZPE
OG0000011	N0	n0	1.0	Shared	ACYPI_Phy00BX1RB_ACYPI, MYZPE_Phy007AQXD_MYZPE	ACYPI_Phy00BWWNC_ACYPI, MYZPE_Phy007AQXA_MYZPE
OG0000012	N0	n0	1.0	Shared	MYZPE_Phy007AM3S_MYZPE, ACYPI_Phy00BX0K4_ACYPI	ACYPI_Phy00BWZ6L_ACYPI, MYZPE_Phy007AN98_MYZPE
OG0000013	N0	n0	1.0	Shared	MYZPE_Phy007AMF2_MYZPE, ACYPI_Phy00BX4MH_ACYPI	ACYPI_Phy00BWXF3_ACYPI, MYZPE_Phy007ASOK_MYZPE
OG0000014	N0	n0	1.0	Shared	MYZPE_Phy007ANP1_MYZPE, ACYPI_Phy0041ZJG_ACYPI	MYZPE_Phy007APAZ_MYZPE, ACYPI_Phy00BWXF6_ACYPI
OG0000015	N0	n0	1.0	Shared	ACYPI_Phy000YERN_ACYPI, MYZPE_Phy007AZVI_MYZPE	ACYPI_Phy007B5SL_ACYPI, MYZPE_Phy007AXYQ_MYZPE
OG0000016	ACYPI	n1	1.0	Terminal	ACYPI_Phy00BWVQD_ACYPI	ACYPI_Phy0042233_ACYPI
OG0000016	MYZPE	n2	1.0	Terminal	MYZPE_Phy007ATFF_MYZPE	MYZPE_Phy007AV73_MYZPE
